,t,xi1,xi2,ui,xf1,xf2,uf
20,0.5,-3.454585714,-0.513248168,-1.189641587,-3.502695838,-0.450008152,0.151298908
24,0.6,-3.502695838,-0.450008152,0.151298908,-3.534561661,-0.191614156,2.265281732
28,0.7,-3.534561661,-0.191614156,2.265281732,-3.534906463,0.178549754,3.698191085
32,0.8,-3.534906463,0.178549754,3.698191085,-3.511839756,0.281075907,1.255928602
36,0.9,-3.511839756,0.281075907,1.255928602,-3.489302704,0.171491237,-0.870476184
40,1,-3.489302704,0.171491237,-0.870476184,7.180840605,-12.77836388,0
0,0,7.180840605,-12.77836388,0,6.061566867,-9.659090123,20
4,0.1,6.061566867,-9.659090123,20,5.239131272,-6.83665452,20
8,0.2,5.239131272,-6.83665452,20,4.685285936,-4.282809211,19.99999972
12,0.3,4.685285936,-4.282809211,19.99999972,4.340703658,-2.636274026,13.01952908
16,0.4,4.340703658,-2.636274026,13.01952908,4.111214556,-1.964699069,4.42085854
20,0.5,4.111214556,-1.964699069,4.42085854,3.937806743,-1.511017287,2.802739695
24,0.6,3.937806743,-1.511017287,2.802739695,3.806834228,-1.11503167,2.650131025
28,0.7,3.806834228,-1.11503167,2.650131025,3.714148942,-0.744842841,2.775035422
32,0.8,3.714148942,-0.744842841,2.775035422,3.656547463,-0.412721166,2.745201967
36,0.9,3.656547463,-0.412721166,2.745201967,3.624911572,-0.223155565,1.579297096
40,1,3.624911572,-0.223155565,1.579297096,-1.238944562,-7.13397157,0
0,0,-1.238944562,-7.13397157,0,-1.821083355,-4.551832762,20
4,0.1,-1.821083355,-4.551832762,20,-2.157499152,-2.215416958,20
8,0.2,-2.157499152,-2.215416958,20,-2.276199256,-0.192298155,19.04418699
12,0.3,-2.276199256,-0.192298155,19.04418699,-2.30812787,-0.442111275,-2.81741735
16,0.4,-2.30812787,-0.442111275,-2.81741735,-2.355955112,-0.513248135,-1.189641009
20,0.5,-2.355955112,-0.513248135,-1.189641009,-2.404065238,-0.450008204,0.151298047
24,0.6,-2.404065238,-0.450008204,0.151298047,-2.43593106,-0.191614086,2.265282959
28,0.7,-2.43593106,-0.191614086,2.265282959,-2.436275865,0.178549622,3.698189031
32,0.8,-2.436275865,0.178549622,3.698189031,-2.417055533,0.205409413,0.460801229
36,0.9,-2.417055533,0.205409413,0.460801229,-2.400730585,0.122471618,-0.666128466
40,1,-2.400730585,0.122471618,-0.666128466,9.736805753,-6.300822791,0
0,0,9.736805753,-6.300822791,0,9.107240345,-6.290654795,-6.193974122
4,0.1,9.107240345,-6.290654795,-6.193974122,8.513032822,-5.604922636,0.915246363
8,0.2,8.513032822,-5.604922636,0.915246363,7.992382142,-4.821151644,2.631203115
12,0.3,7.992382142,-4.821151644,2.631203115,7.549290096,-4.05348164,3.245779577
16,0.4,7.549290096,-4.05348164,3.245779577,7.181239273,-3.319761441,3.656693771
20,0.5,7.181239273,-3.319761441,3.656693771,6.884919474,-2.618323232,4.051184092
24,0.6,6.884919474,-2.618323232,4.051184092,6.657314708,-1.944992397,4.457260697
28,0.7,6.657314708,-1.944992397,4.457260697,6.495522046,-1.301582563,4.816171713
32,0.8,6.495522046,-1.301582563,4.816171713,6.394847609,-0.721571413,4.793367138
36,0.9,6.394847609,-0.721571413,4.793367138,6.339535788,-0.390187165,2.760724258
40,1,6.339535788,-0.390187165,2.760724258,1.801848143,-6.058434039,0
