,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,u0,u1,L,inst_cost,ctg,path_diff
0,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,371.0,374.0,0.0,368.7518,2234.228,-40.0
1,,,,,,,,,,,,,0.1,354.2992,338.3623,323.85,311.2408,300.7925,292.55,286.3906,282.0931,279.4126,278.1478,278.189,279.5437,282.3361,286.7821,293.1392,301.6388,312.4093,325.4057,340.3628,356.7878,372.0,264.3076923076923,368.7518,180.79930000000002,1865.4762,-20.44999999999999
2,,,,,,,,,,,,,0.2,360.1464,348.6035,337.6643,327.5891,318.5928,310.8359,304.4188,299.3772,295.678,293.2133,291.7953,291.153,290.9365,290.735,290.1127,288.6629,286.0732,282.1901,277.0635,270.9561,228.4102564102564,274.56410256410254,549.5511,192.8157,1684.6769,-2.164100000000019
3,,,,,,,,,,,,,0.3,243.5925,257.8334,270.335,280.5514,288.2408,293.4531,296.4674,297.701,297.6154,296.6401,295.1242,293.3177,291.3757,289.3781,287.3539,285.3051,283.2242,281.1055,278.9498,276.765,173.0,372.0,742.3668,231.21299999999997,1491.8612,-19.546899999999994
4,,,,,,,,,,,,,0.4,191.956,210.1847,227.0415,242.0313,254.848,265.3849,273.7178,280.0734,284.7921,288.2953,291.0598,293.599,296.4454,300.1258,305.1256,311.8381,320.5063,331.1692,343.6278,357.4469,374.0,254.05128205128204,973.5798,217.73880000000008,1260.6482,-47.615099999999984
5,,,,,,,,,,,,,0.5,353.7959,334.8766,318.3334,304.917,294.9675,288.4281,284.9263,283.8872,284.6481,286.545,288.9612,291.3415,293.1854,294.0387,293.4983,291.2401,287.0654,280.9538,273.1027,263.933,207.8974358974359,352.4871794871795,1191.3186,189.77160000000003,1042.9094,-24.571900000000028
6,,,,,,,,,,,,,0.6,223.7382,238.6849,251.9868,263.1449,271.96,278.5168,283.1182,286.1961,288.2256,289.6651,290.9262,292.3724,294.3326,297.113,300.9959,306.2175,312.928,321.1453,330.7195,341.3246,374.0,178.12820512820514,1381.0902,208.5652,853.1378,-34.48320000000001
7,,,,,,,,,,,,,0.7,356.3246,339.6825,324.9518,312.7367,303.311,296.6262,292.3714,290.0578,289.0998,288.8731,288.7431,288.0695,286.2046,282.5018,276.3524,267.2545,254.9051,239.2938,220.768,200.0411,229.4102564102564,366.8717948717949,1589.6554,289.49379999999996,644.5726,-16.373800000000017
8,,,,,,,,,,,,,0.8,242.534,254.8363,265.6218,274.4157,281.0071,285.4375,287.9477,288.908,288.7539,287.9462,286.9591,286.2897,286.4712,288.0712,291.6593,297.7375,306.6434,318.4491,332.8871,349.3347,371.0,278.69230769230774,1879.1492,188.30489999999986,355.0788,-27.5625
9,,,,,,,,,,,,,0.9,355.1046,340.0688,326.624,315.2774,306.2679,299.5786,294.9942,292.1786,290.7507,290.3392,290.6091,291.2637,292.0308,292.6497,292.8682,292.4581,291.2463,289.1531,286.2239,282.6387,174.0,372.0,2067.4541,166.77390000000014,166.77390000000014,-13.421400000000006
0,,,,,,,,,,,,,0.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,273.0,371.0,373.0,0.0,369.1274,2173.1648999999998,-40.0
1,,,,,,,,,,,,,0.1,354.2992,338.3622,323.8499,311.2404,300.7918,292.5485,286.3876,282.0873,279.4019,278.1287,278.1562,279.4893,282.2493,286.6486,292.9413,301.356,312.0195,324.887,339.6959,355.9582,374.0,264.3076923076923,369.1274,182.512,1804.0375,-20.45150000000001
2,,,,,,,,,,,,,0.2,361.804,349.9337,338.6956,328.3592,319.1438,311.2101,304.6549,299.5078,295.7286,293.2028,291.7372,291.0569,290.8105,290.587,289.9519,288.5001,285.9207,282.0608,276.9694,270.9064,228.4102564102564,276.56410256410254,551.6394,193.07449999999994,1621.5255,-1.7898999999999887
