,,xi_0,xi_1,ui_0,xf_0,xf_1,uf_0
299,5,0.002720331,-0.001289825,0.000342177,-7,2,-3.212957553
300,0,-7,2,-3.212957553,1.443428902,-0.658210267,0.135687542
301,1,1.443428902,-0.658210267,0.135687542,-0.297099476,0.128580791,-0.042154783
302,2,-0.297099476,0.128580791,-0.042154783,0.06087957,-0.034858795,0.008064938
303,3,0.06087957,-0.034858795,0.008064938,-0.01248629,0.00580897,-0.002661844
304,4,-0.01248629,0.00580897,-0.002661844,0.002590892,-0.00271164,0.000103462
305,5,0.002590892,-0.00271164,0.000103462,6,0,3
306,0,6,0,3,-1.264681369,0.010061332,0.018737295
307,1,-1.264681369,0.010061332,0.018737295,0.265794954,-0.016470112,0.000671335
308,2,0.265794954,-0.016470112,0.000671335,-0.055702695,0.006447253,-0.001102398
309,3,-0.055702695,0.006447253,-0.001102398,0.011652019,-0.001976173,0.000430847
310,4,0.011652019,-0.001976173,0.000430847,-0.002487018,0.000556781,-0.000126462
311,5,-0.002487018,0.000556781,-0.000126462,5,5,1.983661606
312,0,5,5,1.983661606,-1.127224652,-1.537657396,0.333679751
313,1,-1.127224652,-1.537657396,0.333679751,0.249743294,0.192069677,-0.096267756
314,2,0.249743294,0.192069677,-0.096267756,-0.055396161,-0.060773536,0.010137153
315,3,-0.055396161,-0.060773536,0.010137153,0.012023122,0.001322431,-0.005722667
316,4,0.012023122,0.001322431,-0.005722667,-0.002762951,-0.006780838,-0.001256902
317,5,-0.002762951,-0.006780838,-0.001256902,-1,-2,-0.5
318,0,-1,-2,-0.5,0.23066638,0.366324016,-0.121626811
319,1,0.23066638,0.366324016,-0.121626811,-0.052616045,-0.073561313,0.024533037
320,2,-0.052616045,-0.073561313,0.024533037,0.011890137,0.014700881,-0.004926081
321,3,0.011890137,0.014700881,-0.004926081,-0.002668086,-0.002925268,0.000982635
322,4,-0.002668086,-0.002925268,0.000982635,0.000608387,0.000592302,-0.000187197
323,5,0.000608387,0.000592302,-0.000187197,-1,0,-0.5
324,0,-1,0,-0.5,0.207114276,-0.069516763,0.018722962
325,1,0.207114276,-0.069516763,0.018722962,-0.042765967,0.016811855,-0.004655109
326,2,-0.042765967,0.016811855,-0.004655109,0.008803309,-0.003982692,0.001125711
327,3,0.008803309,-0.003982692,0.001125711,-0.001808152,0.000929342,-0.000266191
328,4,-0.001808152,0.000929342,-0.000266191,0.000378761,-0.000219093,5.95E-05
329,5,0.000378761,-0.000219093,5.95E-05,1,8,0.419493509
330,0,1,8,0.419493509,-0.324981498,-2.263258488,0.587094725
331,1,-0.324981498,-2.263258488,0.587094725,0.089270237,0.352708801,-0.145351384
332,2,0.089270237,0.352708801,-0.145351384,-0.023459714,-0.096000857,0.020900145
333,3,-0.023459714,-0.096000857,0.020900145,0.00569735,0.009020689,-0.008077672
334,4,0.00569735,0.009020689,-0.008077672,-0.00148906,-0.008494105,-0.000764295
335,5,-0.00148906,-0.008494105,-0.000764295,-3,0,-1.5
336,0,-3,0,-1.5,0.627627315,-0.092253396,0.018718871
337,1,0.627627315,-0.092253396,0.018718871,-0.130926228,0.026321003,-0.006176951
338,2,-0.130926228,0.026321003,-0.006176951,0.027233596,-0.006962681,0.001762315
339,3,0.027233596,-0.006962681,0.001762315,-0.005653915,0.001759491,-0.000465345
340,4,-0.005653915,0.001759491,-0.000465345,0.001197555,-0.000440771,0.000112595
341,5,0.001197555,-0.000440771,0.000112595,7,9,3.224638507
342,0,7,9,3.224638507,-1.599560213,-2.429723321,0.668779804
343,1,-1.599560213,-2.429723321,0.668779804,0.359141752,0.373009074,-0.156594461
344,2,0.359141752,0.373009074,-0.156594461,-0.080432831,-0.097154925,0.022260394
